age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,max_monthly_emi,emi_eligibility,total_monthly_expenses,debt_to_income_ratio,expense_to_income_ratio,available_income,affordability_ratio
25,Female,Single,Post Graduate,181669,Private,2,Small,Rented,15828,1,4,7866,11667,13488,27958,12641,No,338,698,879613,399823,Education,885721,49,32159.05,High_Risk,89786,0.0018605265620441572,0.4942285144961441,91883,0.17702001992634955
37,Female,Single,Professional,76217,Private,12,Large,Rented,28835,3,2,7253,12050,1810,4450,11196,Yes,13348,699,198857,366213,E-commerce Shopping,135971,14,500.0,Not_Eligible,78942,0.17513153233530576,1.035753178424761,-2725,0.006560216224726767
28,Male,Married,High School,115668,Private,29,Large,Family,4957,3,4,14211,11424,1882,24757,17964,No,27871,761,262539,247636,Vehicle,1020404,62,4410.7,Not_Eligible,103066,0.2409568765777916,0.8910502472593976,12602,0.03813241345921084
25,Male,Single,High School,172904,Government,1,Large,Rented,18671,6,3,4326,26871,10594,21979,9853,Yes,26539,663,163986,97503,Vehicle,1160876,30,18924.85,High_Risk,118833,0.1534897978068755,0.6872773330865682,54071,0.1094529334197011
56,Male,Married,Professional,158936,Self-employed,3,Small,Family,25812,2,1,5570,20798,4794,22973,9862,No,6202,380,809201,489190,Vehicle,1227256,77,22023.75,Not_Eligible,96011,0.03902199627523028,0.6040859213771581,62925,0.13856992751799466
58,Female,Single,High School,103378,Self-employed,2,Large,Rented,24534,4,1,2037,27587,10480,11521,15672,No,11115,392,347500,173909,Vehicle,849868,83,500.0,Not_Eligible,102946,0.10751804058890672,0.9958211611754919,432,0.004836619009847356
52,Male,Single,Graduate,23177,Private,14,Small,Family,6292,2,3,2185,25275,6307,14246,8178,Yes,5339,371,546487,400878,Personal Loan,621413,16,500.0,Not_Eligible,67822,0.23035768218492472,2.926263105665099,-44645,0.02157311127410795
55,Male,Married,Professional,192187,Private,3,Large,Family,27750,1,2,9188,12818,10089,13727,1087,Yes,2408,356,977005,245448,Education,559493,33,40292.0,Not_Eligible,77067,0.012529463491287132,0.4010000676424524,115120,0.20964997632514165
32,Male,Single,High School,137318,Self-employed,22,Small,Own,25782,4,0,10770,28667,11596,24293,14593,Yes,11025,822,261420,427025,Vehicle,339898,71,3707.2,Not_Eligible,126726,0.08028809041786218,0.9228651742670299,10592,0.026997189006539565
50,Female,Single,High School,198026,Government,20,Medium,Family,8696,1,4,7505,28403,9121,9625,3489,Yes,6168,806,182548,333003,Vehicle,235765,68,43756.65,Eligible,73007,0.031147425085594822,0.368673810509731,125019,0.22096416632159413
58,Male,Single,Professional,126145,Government,3,Large,Rented,11959,4,2,1179,21616,10408,10699,12569,Yes,18313,728,139856,387205,Education,869929,62,13790.7,Eligible,86743,0.14517420428871536,0.6876451702405961,39402,0.10932419041579136
27,Female,Single,Graduate,157916,Government,29,Large,Own,12812,6,0,4702,10139,6229,12211,8011,No,18884,697,784049,436570,Home Appliances,784272,79,29724.8,High_Risk,72988,0.11958256288153195,0.46219509106107043,84928,0.18823171812862535
36,Female,Married,Professional,28418,Government,14,Small,Rented,9595,5,0,6935,20245,3955,14700,2600,No,23758,759,609570,94315,Personal Loan,947694,22,500.0,Not_Eligible,81788,0.8360194243085368,2.878035048208882,-53370,0.017594482370328665
25,Male,Single,High School,180926,Government,5,Large,Family,9959,5,1,10112,6706,13214,24925,2489,No,26648,582,808137,223654,Personal Loan,1302488,13,30405.55,Not_Eligible,94053,0.14728673601361883,0.5198423664923781,86873,0.16805517172766765
29,Female,Single,Professional,103075,Government,22,Small,Own,20117,5,3,13572,9559,3953,16310,6509,Yes,9299,504,42166,427886,E-commerce Shopping,476495,80,8314.6,Not_Eligible,79319,0.09021586223623575,0.7695270434149891,23756,0.08066553480475383
54,Male,Married,High School,190022,Government,27,Small,Family,15383,6,1,11423,8314,4570,10970,14690,Yes,18679,396,684386,460288,Personal Loan,440577,6,37097.55,Not_Eligible,84029,0.09829914430960626,0.4422066918567324,105993,0.19522765785014368
54,Female,Married,Post Graduate,80227,Government,29,Medium,Family,8892,2,3,9524,17133,6742,8281,11573,Yes,7415,771,628435,305166,E-commerce Shopping,550933,54,3733.45,Not_Eligible,69560,0.09242524337193214,0.8670397746394606,10667,0.04653607887618881
41,Female,Single,Professional,158907,Government,26,Medium,Rented,27780,4,1,14416,12606,6184,23205,17199,No,7218,759,548243,441997,Home Appliances,455549,49,17604.649999999998,Eligible,108608,0.045422794464686896,0.6834689472458734,50299,0.11078586846394431
47,Male,Single,Professional,32533,Private,4,Large,Rented,21497,2,4,2744,1597,2088,15721,13285,No,7092,564,339274,378360,Education,677965,69,500.0,Not_Eligible,64024,0.21799403682414778,1.9679709833092551,-31491,0.015369009928380414
39,Male,Married,High School,116457,Government,11,Large,Rented,28721,4,1,2260,25161,1316,4827,8030,No,9737,568,576929,85580,Vehicle,1496401,13,12741.75,Not_Eligible,80052,0.08361025958078948,0.6873953476390428,36405,0.10941162832633504
45,Male,Single,High School,122504,Private,6,Small,Own,19389,1,4,6120,6388,13010,7111,7257,No,18608,563,725590,55799,E-commerce Shopping,949689,52,15617.35,Not_Eligible,77883,0.1518970809116437,0.6357588323646575,44621,0.12748440867236988
38,Female,Married,High School,156295,Self-employed,2,Small,Rented,21174,5,2,3498,8735,7238,18318,11847,No,6268,765,275746,62292,Personal Loan,416042,25,27725.95,Eligible,77078,0.04010365014875716,0.49315717073482834,79217,0.17739499024281008
26,Female,Single,High School,139202,Private,6,Small,Family,12313,5,2,3413,5576,13746,11811,1478,Yes,24741,306,573818,446637,Vehicle,1382992,83,23143.4,Not_Eligible,73078,0.17773451530868808,0.5249780893952674,66124,0.16625766871165645
35,Male,Married,Professional,25273,Self-employed,11,Small,Own,28658,4,1,5478,18584,8970,3688,4484,No,22504,427,232436,421998,Home Appliances,316257,64,500.0,Not_Eligible,92366,0.8904364341391999,3.654730344636569,-67093,0.01978395916590828
58,Male,Married,High School,48519,Private,14,Large,Rented,10,2,2,5798,19087,1394,13304,1331,Yes,11611,698,962602,335988,Education,239985,55,500.0,Not_Eligible,52535,0.23930831220758877,1.082771697685443,-4016,0.010305241245697561
58,Female,Married,Professional,170232,Self-employed,18,Medium,Rented,13095,2,0,8097,8206,6315,15862,1280,Yes,24701,483,257940,195624,E-commerce Shopping,1274340,16,32436.6,Not_Eligible,77556,0.14510197847643216,0.45559001832792895,92676,0.19054349358522485
42,Female,Single,Graduate,142024,Private,29,Large,Rented,5221,3,4,205,26042,10765,20203,2421,No,3440,383,952326,110449,Personal Loan,22864,49,25804.45,Not_Eligible,68297,0.024221258378865546,0.48088351264575,73727,0.1816907705739875
54,Female,Single,Professional,139540,Private,5,Large,Family,26634,5,3,5380,27951,13145,9216,11815,No,17265,739,896637,447493,Vehicle,385982,20,9846.9,High_Risk,111406,0.12372796330801204,0.7983803927189337,28134,0.07056686254837323
39,Male,Single,High School,195060,Self-employed,7,Large,Rented,15471,5,4,1809,24337,2062,21635,2239,No,5933,532,276159,184595,Vehicle,1150383,69,42550.9,Not_Eligible,73486,0.030416282169588846,0.37673536347790426,121574,0.21814262278273353
51,Female,Single,High School,156420,Government,28,Medium,Family,3677,2,1,9091,24820,11388,21685,17789,No,7414,828,332423,412739,Vehicle,870522,25,21194.6,Eligible,95864,0.04739803094233474,0.6128628052678685,60556,0.135498018156246
58,Male,Married,Graduate,98460,Government,30,Large,Own,11011,5,2,8939,18998,3423,14835,10079,Yes,4165,392,302412,481063,Education,808881,62,9453.5,Not_Eligible,71450,0.04230144221003453,0.7256754011781434,27010,0.0960136095876498
57,Female,Married,Professional,119471,Government,5,Medium,Rented,15105,2,2,13164,25474,11605,5660,8084,Yes,6137,776,609330,237458,E-commerce Shopping,642324,61,11984.7,Eligible,85229,0.05136811443781336,0.7133865122079835,34242,0.10031472072720578
48,Female,Married,Graduate,119668,Government,25,Small,Family,25548,3,0,10821,1478,5551,25032,8742,Yes,522,660,658173,271850,Education,904499,52,14690.9,High_Risk,77694,0.004362068389210148,0.649246247952669,41974,0.12276381321656583
39,Male,Single,Professional,82519,Government,26,Large,Rented,7334,4,2,10634,9574,5371,13434,6127,No,9615,410,544856,359015,Personal Loan,702861,63,7150.5,Not_Eligible,62089,0.11651861995419237,0.7524206546371138,20430,0.08665277087701015
54,Male,Single,High School,105426,Private,2,Small,Rented,11984,4,1,14036,24627,6674,13490,4074,Yes,10911,641,188033,143486,E-commerce Shopping,1206277,19,6870.5,High_Risk,85796,0.10349439417221558,0.8138030466867756,19630,0.06516893365962856
41,Male,Single,Professional,29629,Government,27,Small,Own,27030,3,1,12624,10250,4581,8662,11558,Yes,9601,607,81114,179785,Home Appliances,402181,56,500.0,Not_Eligible,84306,0.3240406358635121,2.8453879644942455,-54677,0.01687535860137028
29,Female,Married,High School,64056,Private,4,Small,Own,5164,5,3,6942,21302,14549,3954,5653,Yes,14310,716,56027,435324,Home Appliances,1240088,11,500.0,Not_Eligible,71874,0.22339827650805544,1.1220494567253654,-7818,0.007805670038716123
53,Female,Single,High School,26273,Self-employed,8,Large,Family,9033,1,4,9953,2274,7548,9453,5933,Yes,3129,376,697282,258884,Education,1342332,34,500.0,Not_Eligible,47323,0.11909564952612949,1.8012027556807368,-21050,0.019030944315456932
28,Female,Single,Post Graduate,135484,Government,23,Small,Family,23244,5,4,13068,2161,5258,23325,13763,Yes,19929,567,469854,94465,Education,1247154,80,12157.6,Not_Eligible,100748,0.14709485990965723,0.7436154822709693,34736,0.08973458120516076
34,Male,Married,Post Graduate,112275,Government,15,Large,Family,24489,2,4,12566,19992,10834,17105,3895,Yes,23380,651,614547,436574,Education,420520,24,500.0,Not_Eligible,112261,0.20823869962146516,0.9998753061678913,14,0.00445335114673792
41,Female,Married,Professional,186488,Government,21,Small,Own,29030,6,3,2296,16987,5895,24132,4440,Yes,19365,345,752999,344875,Home Appliances,1449612,42,29520.05,Not_Eligible,102145,0.10384046158465961,0.5477296126292308,84343,0.1582946355797692
34,Male,Single,High School,153966,Government,15,Large,Family,14889,1,3,4928,4043,7947,10412,2463,Yes,3150,625,996900,123188,Home Appliances,974876,80,37146.9,High_Risk,47832,0.02045906239039788,0.31066599119286076,106134,0.24126690308249873
41,Male,Married,Graduate,61073,Private,8,Large,Own,284,3,3,9923,7254,8784,15562,18528,No,22712,758,803212,53971,E-commerce Shopping,124748,54,500.0,Not_Eligible,83047,0.371882828745927,1.359798929150361,-21974,0.008186923845234392
44,Male,Single,High School,60693,Private,17,Large,Own,6543,4,0,5149,29264,8236,20631,8812,Yes,13388,681,429880,208120,E-commerce Shopping,466223,80,500.0,Not_Eligible,92023,0.22058556999983522,1.5162045046380968,-31330,0.008238182327451271
48,Female,Married,Graduate,197538,Private,12,Small,Rented,5570,4,3,3998,13561,6228,24870,6883,No,1094,514,601415,71173,Education,720557,30,47366.9,Not_Eligible,62204,0.00553817493343053,0.31489637436847595,135334,0.23978626897103342
29,Female,Married,Professional,39343,Self-employed,10,Large,Rented,22115,5,2,5934,21753,13467,15826,1777,No,17523,740,371122,470058,Vehicle,1046087,46,500.0,Not_Eligible,98395,0.4453905396131459,2.500953155580408,-59052,0.012708741072109397
58,Male,Married,Professional,58095,Private,24,Small,Family,23995,4,0,11151,19876,2542,12465,3880,Yes,20410,640,424393,167676,E-commerce Shopping,430034,56,500.0,Not_Eligible,94319,0.35132111197177035,1.6235304243050177,-36224,0.008606592649969876
30,Female,Single,Graduate,177246,Government,9,Medium,Own,18819,5,2,938,27574,3899,9886,13670,Yes,27832,599,583693,165266,Home Appliances,152790,50,26119.8,Not_Eligible,102618,0.15702470013427666,0.5789580582918655,74628,0.14736467959784705
26,Male,Single,Graduate,196873,Self-employed,28,Small,Own,7523,2,4,5250,11784,11226,3012,13166,Yes,6466,585,242780,243857,Personal Loan,122486,24,48456.1,Not_Eligible,58427,0.032843508251512395,0.2967750783500023,138446,0.24612872257749918
37,Male,Single,High School,137388,Self-employed,9,Small,Own,11023,2,1,12811,9196,2478,26859,17516,No,8206,708,56298,433437,Vehicle,144966,37,17254.649999999998,Eligible,88089,0.05972865170174979,0.6411695344571579,49299,0.12559066293999474
35,Female,Married,Professional,129441,Government,5,Large,Rented,12712,3,4,4555,6754,10203,7705,14858,Yes,15187,685,745622,295110,Home Appliances,212337,47,20113.45,High_Risk,71974,0.1173275855409028,0.5560371134339197,57467,0.1553870102981281
47,Male,Married,High School,115782,Government,15,Small,Own,1029,6,3,6538,13859,10623,21623,17338,Yes,6585,767,765465,425360,Vehicle,732567,30,13365.45,Eligible,77595,0.056874125511737574,0.6701818935585843,38187,0.11543633725449552
40,Male,Married,Graduate,188998,Government,24,Medium,Family,22968,2,1,7695,27704,14972,3697,14430,No,1538,793,849848,224884,Personal Loan,1254586,69,33597.9,Eligible,93004,0.008137652250288363,0.4920898633847977,95994,0.1777685478153208
55,Female,Married,Post Graduate,87590,Government,11,Large,Family,24475,5,4,6556,19518,12448,5066,16515,Yes,5177,825,629814,198836,Education,153903,40,500.0,Not_Eligible,89755,0.059104920653042584,1.0247174334969746,-2165,0.005708414202534536
35,Male,Single,Post Graduate,184899,Private,3,Small,Rented,20835,4,0,2164,14673,9648,13578,604,Yes,6542,450,452364,466883,Vehicle,818295,55,40899.25,Not_Eligible,68044,0.03538147853693097,0.36800631696223346,116855,0.2211977890632183
40,Male,Single,Post Graduate,123263,Self-employed,4,Small,Family,19350,2,3,5268,26387,6010,9914,4661,No,21179,477,34476,450751,Personal Loan,36948,8,10672.9,Not_Eligible,92769,0.17181960523433634,0.7526102723444992,30494,0.08658640467942529
32,Male,Single,Graduate,190847,Government,1,Large,Own,7755,2,4,6252,29396,12256,7674,17784,No,13058,844,601456,479362,Personal Loan,603158,16,33835.2,Eligible,94175,0.06842130083260413,0.493458110423533,96672,0.17728966135176344
28,Male,Married,High School,187273,Private,18,Large,Own,553,5,1,14571,17198,5051,5073,11458,Yes,7579,308,128909,279294,Vehicle,1476313,38,44026.5,Not_Eligible,61483,0.04047032941214163,0.32830680343669405,125790,0.2350926187971571
28,Male,Married,Professional,44373,Government,0,Small,Family,16651,2,2,6121,8723,4576,22596,12545,Yes,26286,650,979578,345496,Vehicle,379427,53,500.0,Not_Eligible,97498,0.5923872625245081,2.197237058571654,-53125,0.011268113492439096
49,Male,Single,Graduate,42525,Private,3,Small,Rented,14203,4,4,2873,758,8835,6813,11085,Yes,10816,502,171441,253341,Vehicle,1290829,79,500.0,Not_Eligible,55383,0.25434450323339214,1.302363315696649,-12858,0.011757789535567314
27,Male,Married,Post Graduate,142716,Government,11,Large,Own,23519,6,0,1450,16389,9095,4050,6447,No,9652,562,131970,164003,Vehicle,1467812,46,25239.9,Not_Eligible,70602,0.06763081924941843,0.49470276633313714,72114,0.176854031783402
56,Female,Single,High School,119513,Government,1,Large,Own,1240,4,1,5105,8776,7653,5152,2548,No,5011,448,770234,43341,Education,98988,47,29409.8,Not_Eligible,35485,0.041928493134638076,0.29691330650222153,84028,0.24608034272422247
27,Female,Married,Professional,144401,Government,11,Medium,Rented,4159,6,4,5636,29290,3292,10689,14915,No,13322,391,811354,318376,Home Appliances,1063125,75,22084.3,Not_Eligible,81303,0.09225697882978649,0.5630362670618625,63098,0.15293730652834814
51,Male,Married,Professional,111643,Private,30,Medium,Own,18873,4,2,1203,3676,5879,14023,12075,Yes,1816,826,980375,291990,E-commerce Shopping,168245,43,18934.3,Eligible,57545,0.01626613401646319,0.5154376002078053,54098,0.16959683992726815
53,Male,Single,Graduate,176558,Government,15,Medium,Family,24242,4,3,7052,17918,8205,18638,1885,No,26814,755,305747,428792,Education,1055929,8,25131.4,Eligible,104754,0.1518707733436038,0.5933121127334927,71804,0.14234076054327757
56,Female,Single,Graduate,164712,Private,1,Large,Family,10780,1,3,10064,13084,2138,29926,338,Yes,5635,759,849503,42673,Vehicle,948600,9,32461.45,Eligible,71965,0.03421122929719753,0.43691412890378356,92747,0.19708005488367575
43,Female,Married,Professional,112694,Private,16,Large,Rented,21778,4,3,4491,17868,3545,16323,5803,No,6994,752,654288,477297,Personal Loan,275602,49,12562.2,Eligible,76802,0.06206186664773635,0.6815092196567697,35892,0.11147177312013062
45,Female,Single,Professional,51136,Self-employed,25,Large,Rented,8661,1,1,3024,29027,10552,25171,6558,Yes,28213,499,981962,255503,Education,834484,35,500.0,Not_Eligible,111206,0.5517248122653317,2.1747105757196494,-60070,0.00977784730913642
29,Female,Single,Post Graduate,71539,Private,27,Small,Family,3287,4,2,6144,2266,4190,14340,910,No,6203,336,718296,265819,E-commerce Shopping,994736,24,11969.65,Not_Eligible,37340,0.08670794951005745,0.5219530605683613,34199,0.16731642880107353
42,Female,Married,Professional,171014,Private,1,Large,Rented,28512,4,2,2055,2414,9247,6089,14402,Yes,4251,687,641445,418763,E-commerce Shopping,243993,69,36415.4,High_Risk,66970,0.024857613996514906,0.391605365642579,104044,0.21293812202509738
52,Male,Married,Graduate,83363,Private,3,Small,Family,18403,5,4,2191,13176,5519,23025,13010,No,11401,732,527266,460743,Education,49460,79,500.0,Not_Eligible,86725,0.13676331226083513,1.0403296426472175,-3362,0.005997864760145388
46,Female,Married,High School,96526,Private,5,Large,Rented,10215,6,3,9870,16944,12383,3173,5500,Yes,13306,847,717279,164667,Personal Loan,1334448,15,8797.25,High_Risk,71391,0.13784886973457927,0.7396038373080828,25135,0.09113865694217102
45,Female,Single,Post Graduate,50255,Private,28,Large,Family,9781,4,1,14610,20843,13337,12616,4614,No,6612,393,106801,301416,Personal Loan,933386,58,500.0,Not_Eligible,82413,0.13156899810964084,1.6398965277086857,-32158,0.009949258780220873
30,Female,Married,Post Graduate,133209,Self-employed,27,Small,Own,29549,2,3,7832,25989,12628,10254,896,Yes,9891,490,306631,420028,Personal Loan,1236011,79,12659.5,Not_Eligible,97039,0.07425173974731437,0.7284717999534566,36170,0.09503487001629018
25,Male,Married,Professional,101437,Government,22,Large,Own,15951,4,3,12574,1318,11151,23287,8424,No,13903,775,332462,130801,Home Appliances,1496455,14,5190.15,High_Risk,86608,0.13706044145627336,0.8538107396709288,14829,0.05116624111517493
29,Male,Married,High School,162349,Self-employed,6,Large,Family,5313,3,4,10729,2552,14673,10510,2758,No,19360,465,45326,244461,Personal Loan,1345661,7,33758.9,Not_Eligible,65895,0.1192492716308693,0.40588485300186633,96454,0.20794030144934678
36,Male,Married,Post Graduate,147715,Self-employed,22,Large,Own,15047,5,4,9857,29983,11321,19832,9016,Yes,24890,339,946384,279301,E-commerce Shopping,1228617,79,9719.15,Not_Eligible,119946,0.16850015232034662,0.8120096131063196,27769,0.06579663541278814
50,Male,Married,Graduate,130900,Government,14,Medium,Family,10252,5,4,4728,22704,5977,17389,11848,Yes,26284,363,59927,452902,Vehicle,1209791,57,11101.3,Not_Eligible,99182,0.20079449961802903,0.7576928953399542,31718,0.08480748663101603
58,Male,Single,Professional,38729,Private,19,Large,Rented,4317,4,0,5690,5418,7704,29026,697,No,29874,751,428991,238084,Vehicle,869006,78,500.0,Not_Eligible,82726,0.7713599628185598,2.1360221023006014,-43997,0.012910222314028247
38,Male,Married,Graduate,36818,Government,11,Small,Own,22208,3,0,4824,13595,7191,8835,16154,No,13357,681,21650,212738,E-commerce Shopping,70913,76,500.0,Not_Eligible,86164,0.3627845075778152,2.3402683470041827,-49346,0.013580313976859146
50,Female,Married,Professional,80555,Private,4,Small,Own,9611,6,1,12318,19244,6765,20165,17445,Yes,11660,746,549136,479305,Personal Loan,892567,17,500.0,Not_Eligible,97208,0.1447458258332816,1.2067283222642915,-16653,0.00620693935820247
51,Male,Single,Post Graduate,113979,Government,13,Small,Own,25456,4,1,3011,6720,9429,22952,247,No,21247,574,44680,429085,Vehicle,751599,68,8720.949999999999,Not_Eligible,89062,0.18641153194886778,0.7813895542161275,24917,0.07651365602435535
33,Male,Married,Professional,68629,Self-employed,15,Large,Family,838,2,4,7619,1077,4039,27747,10198,No,22659,377,729779,281866,E-commerce Shopping,629581,40,500.0,Not_Eligible,74177,0.3301665476693526,1.0808404610295939,-5548,0.007285549840446459
50,Female,Married,High School,130296,Private,10,Small,Own,25327,5,2,8435,27442,9580,14961,1919,Yes,20137,424,182698,498306,Personal Loan,1313396,82,7873.249999999999,Not_Eligible,107801,0.15454810585129244,0.827354638668877,22495,0.060425876465893036
46,Male,Single,Graduate,70438,Self-employed,11,Medium,Rented,8461,5,1,8331,26410,12598,29984,1611,No,2458,820,672219,405518,Home Appliances,292254,57,500.0,Not_Eligible,89853,0.034895936852267245,1.2756324711093443,-19415,0.007098441182316363
54,Female,Married,High School,24457,Private,18,Small,Own,27945,6,0,2448,21823,9876,21667,4192,Yes,16519,588,292922,380331,Vehicle,1055007,57,500.0,Not_Eligible,104470,0.6754303471398782,4.271578689127857,-80013,0.020444044649793516
41,Female,Single,Graduate,48922,Government,16,Large,Rented,13922,3,0,724,2526,4983,19816,3663,Yes,29288,426,270991,9781,Personal Loan,178937,49,500.0,Not_Eligible,74922,0.5986672662605781,1.5314582396467846,-26000,0.010220350762438168
50,Male,Married,Graduate,155892,Government,29,Medium,Own,4827,1,3,9756,15901,1186,24519,11519,Yes,17197,515,793038,478848,Personal Loan,1300448,16,24845.45,Not_Eligible,84905,0.11031355040669182,0.5446398788905139,70987,0.15937604238832012
60,Female,Single,Professional,178822,Government,23,Small,Own,23371,6,4,12451,721,11935,7945,1377,No,11143,405,814508,336908,Vehicle,80809,17,38457.65,Not_Eligible,68943,0.062313361890595116,0.3855398105378533,109879,0.21506106631175137
25,Female,Single,Post Graduate,123122,Government,25,Medium,Rented,12903,3,2,103,9436,4428,25089,14313,No,18392,790,994284,121406,Personal Loan,695511,37,13460.3,Eligible,84664,0.149380289468982,0.6876431506960575,38458,0.10932489725637984
32,Female,Married,Post Graduate,117020,Government,26,Small,Own,19887,2,4,4047,5801,11602,4859,2863,No,18457,356,994828,173367,Education,897144,33,17326.399999999998,Not_Eligible,67516,0.15772517518372928,0.5769612032131259,49504,0.1480635788754059
59,Female,Single,High School,183862,Self-employed,6,Large,Rented,28536,3,0,62,22437,8758,28926,9742,No,6656,579,553043,356262,Education,1046378,36,27560.75,Not_Eligible,105117,0.03620106384135928,0.5717168311015871,78745,0.14989910911444454
39,Male,Single,Professional,103405,Self-employed,29,Medium,Rented,14400,6,2,2062,1345,12426,6919,14178,Yes,23520,471,837788,233317,Home Appliances,1401112,75,9994.25,Not_Eligible,74850,0.2274551520719501,0.723852811759586,28555,0.09665151588414486
46,Female,Married,Post Graduate,131130,Private,8,Small,Rented,24208,1,1,12061,29252,7754,13866,11631,Yes,25341,404,963931,273474,E-commerce Shopping,1249221,9,2455.95,Not_Eligible,124113,0.19325097231754748,0.9464882177991306,7017,0.018729123770304276
38,Male,Married,Graduate,180493,Self-employed,13,Small,Own,2075,2,3,3565,745,4388,9390,2312,No,20178,305,723340,216989,Education,261402,40,48244.0,Not_Eligible,42653,0.11179380917819527,0.2363138736682309,137840,0.2672901442161192
50,Female,Single,Graduate,83038,Private,25,Medium,Own,17696,2,0,10418,13326,6069,3548,8496,Yes,6076,333,187294,300651,Education,1062187,3,6093.15,Not_Eligible,65629,0.07317131915508562,0.7903489968448181,17409,0.07337785110431368
52,Female,Married,Professional,77325,Private,19,Medium,Rented,16279,1,3,9738,8124,3934,24444,4879,No,12755,838,321088,203176,Home Appliances,750317,16,500.0,Not_Eligible,80153,0.16495311994827028,1.0365729065632072,-2828,0.006466214031684449
47,Female,Single,High School,40600,Self-employed,11,Medium,Own,14190,4,4,6584,5599,14270,22958,17695,No,2769,829,66766,44121,Education,1073997,27,500.0,Not_Eligible,84065,0.06820197044334976,2.070566502463054,-43465,0.012315270935960592
38,Male,Single,Professional,175466,Self-employed,14,Medium,Family,18668,3,2,6668,877,5371,3166,11032,Yes,3673,816,503240,110986,Education,330438,10,44103.85,Eligible,49455,0.020932830291908403,0.2818494751119875,126011,0.2513526837108044
48,Male,Married,High School,182243,Private,11,Small,Rented,24959,6,4,4822,24709,14112,22896,12125,No,29734,771,716576,230987,Vehicle,1291699,42,17110.1,Eligible,133357,0.16315578650483145,0.7317537573459612,48886,0.09388618492891358
26,Male,Married,Professional,76526,Self-employed,20,Small,Rented,28756,2,3,14646,4813,7934,14952,7842,Yes,27528,554,349722,401359,Home Appliances,594306,8,500.0,Not_Eligible,106471,0.35972087917831846,1.3913049159762696,-29945,0.006533727099286517
50,Female,Single,Graduate,28149,Self-employed,20,Small,Family,15084,6,0,12264,25623,6987,21784,8327,Yes,28698,546,936585,416373,Personal Loan,15192,81,500.0,Not_Eligible,118767,1.0195033571352445,4.219226260257913,-90618,0.017762620341752817
38,Female,Married,Professional,176466,Self-employed,28,Large,Family,12533,3,3,4833,10616,7859,6170,6631,No,8389,616,66323,366165,Personal Loan,1269618,22,41802.25,High_Risk,57031,0.0475389026781363,0.3231840694524724,119435,0.23688557569163465
31,Female,Married,Post Graduate,160468,Government,22,Medium,Rented,14723,1,0,3646,7764,4969,12839,19696,Yes,15251,550,379697,176917,E-commerce Shopping,362958,83,28553.0,Not_Eligible,78888,0.09504075578931626,0.49161203479821525,81580,0.17793578782062466
27,Female,Single,Post Graduate,169396,Government,12,Small,Family,15264,5,3,9982,7309,13186,22573,19235,Yes,9189,647,644512,29349,E-commerce Shopping,556098,61,25430.3,High_Risk,96738,0.054245672861224586,0.5710760584665517,72658,0.15012337953670687
47,Male,Single,Professional,193270,Private,8,Medium,Rented,16246,1,4,14291,10891,13764,5621,19416,No,20416,374,269571,168459,Education,1489884,8,32418.75,Not_Eligible,100645,0.10563460443938531,0.5207481761266621,92625,0.16773813835566823
42,Female,Single,High School,127168,Self-employed,23,Medium,Own,14601,3,3,129,9654,12441,24542,18790,Yes,15077,539,463719,126371,Education,535577,41,11176.9,Not_Eligible,95234,0.1185597005535984,0.7488833668847509,31934,0.08789082159033719
59,Male,Single,High School,124813,Private,6,Small,Family,19192,2,1,3015,17731,3751,6401,3065,No,15887,435,988035,68401,Personal Loan,1129609,12,19519.85,Not_Eligible,69042,0.12728642048504563,0.5531635326448366,55771,0.15639276357430715
39,Female,Single,Graduate,106779,Self-employed,29,Medium,Rented,8995,3,4,14263,29817,9173,9466,14990,Yes,14275,526,265015,300263,Home Appliances,155945,11,2030.0,Not_Eligible,100979,0.13368733552477546,0.9456822034295133,5800,0.01901122879967035
49,Male,Single,Graduate,177088,Government,0,Medium,Rented,14563,5,3,7669,1364,2575,18293,11359,Yes,17730,758,830322,83615,Vehicle,1324686,36,36237.25,Eligible,73553,0.10011971449222985,0.41534717202746657,103535,0.2046284897903867
52,Male,Married,High School,149266,Self-employed,27,Medium,Rented,28911,2,3,13574,16348,7503,9172,7886,No,14357,385,767705,381100,E-commerce Shopping,1292801,79,18030.25,Not_Eligible,97751,0.09618399367571985,0.654877869039165,51515,0.12079274583629225
34,Female,Single,Professional,47398,Self-employed,9,Medium,Family,25672,5,2,5290,15538,2259,16026,13659,No,13384,759,228357,497572,Education,942788,57,500.0,Not_Eligible,91828,0.2823747837461496,1.9373813241065023,-44430,0.010548968310899194
41,Female,Married,Graduate,19789,Self-employed,28,Medium,Own,11934,4,4,926,25807,2056,3542,8322,Yes,1719,411,297510,221890,E-commerce Shopping,1149626,77,500.0,Not_Eligible,54306,0.08686644095204407,2.744251857092324,-34517,0.025266562231542777
46,Male,Married,High School,79967,Government,5,Small,Own,12675,6,2,1980,14289,6660,12531,626,No,28535,368,132417,149272,Personal Loan,1041024,77,934.85,Not_Eligible,77296,0.35683469431140347,0.9665987219728138,2671,0.011690447309515175
