age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,max_monthly_emi,emi_eligibility
45,Female,Married,Post Graduate,195763,Government,7,Medium,Own,3063,4,1,7171,27544,10371,29354,16086,Yes,24874,598,530160,317034,Personal Loan,788358,76,27055.0,Not_Eligible
30,Female,Married,Graduate,87035,Self-employed,18,Small,Family,13313,1,4,634,12995,1495,11820,13523,Yes,9738,785,544018,11436,Personal Loan,217772,9,8230.949999999999,High_Risk
52,Male,Married,High School,101675,Self-employed,4,Small,Family,8352,1,0,2601,7593,6036,13249,5918,No,19925,550,71493,155281,Personal Loan,654590,49,13300.349999999999,Not_Eligible
41,Female,Married,High School,37343,Private,22,Small,Family,10379,6,2,1192,6987,8137,3040,14138,No,26025,675,115749,485709,Home Appliances,1321934,60,500.0,Not_Eligible
29,Male,Single,Post Graduate,34673,Self-employed,18,Medium,Family,10543,4,2,12707,13766,1385,21475,1734,No,20866,496,855046,171428,E-commerce Shopping,569089,22,500.0,Not_Eligible
55,Female,Married,Professional,110024,Private,13,Large,Own,26059,2,1,8928,15030,14960,21628,1536,Yes,13827,368,622988,444170,Education,218333,81,2819.6,Not_Eligible
29,Female,Married,Post Graduate,41520,Self-employed,9,Large,Own,3892,3,3,10628,421,12726,27874,9741,Yes,3554,548,352095,201987,Vehicle,703166,58,500.0,Not_Eligible
27,Female,Married,Post Graduate,30784,Government,30,Small,Family,18121,1,2,9400,8954,4614,15496,1245,No,23406,531,111732,245717,Vehicle,1466164,45,500.0,Not_Eligible
47,Female,Married,Post Graduate,132446,Government,12,Medium,Family,20604,1,1,13634,19167,5771,25446,2533,No,22181,762,25812,215920,Vehicle,1328650,62,8088.499999999999,High_Risk
34,Male,Single,Graduate,53079,Self-employed,30,Large,Family,23464,4,3,10250,21674,8280,28034,18198,No,10952,628,45759,79405,Education,780173,54,500.0,Not_Eligible
34,Female,Married,Professional,59220,Private,21,Large,Family,26484,4,0,5804,27333,2896,3878,3526,No,10695,435,675755,28539,Education,884540,68,500.0,Not_Eligible
43,Female,Single,Graduate,166563,Private,4,Large,Rented,9562,1,0,607,248,13046,13002,9323,Yes,4257,778,239096,14132,Vehicle,1473480,22,40781.299999999996,Eligible
41,Male,Married,Post Graduate,127878,Private,6,Large,Own,26553,1,1,6421,6324,8008,28364,12657,Yes,19762,360,417826,171671,Vehicle,926497,15,6926.15,Not_Eligible
45,Female,Single,Professional,131583,Private,9,Large,Own,3395,6,1,5258,11738,4517,26787,14965,Yes,27374,386,629159,301921,Personal Loan,734478,27,13142.15,Not_Eligible
38,Male,Single,High School,63720,Government,30,Small,Family,16359,1,0,3065,482,11526,18719,15868,Yes,26014,812,136981,213127,E-commerce Shopping,218200,38,500.0,Not_Eligible
33,Male,Single,Professional,29718,Private,10,Small,Rented,2454,5,1,11941,21887,14210,23279,18157,No,29287,458,744240,20695,Home Appliances,872519,5,500.0,Not_Eligible
25,Female,Single,Post Graduate,181669,Private,2,Small,Rented,15828,1,4,7866,11667,13488,27958,12641,No,338,698,879613,399823,Education,885721,49,32159.05,High_Risk
37,Female,Single,Professional,76217,Private,12,Large,Rented,28835,3,2,7253,12050,1810,4450,11196,Yes,13348,699,198857,366213,E-commerce Shopping,135971,14,500.0,Not_Eligible
28,Male,Married,High School,115668,Private,29,Large,Family,4957,3,4,14211,11424,1882,24757,17964,No,27871,761,262539,247636,Vehicle,1020404,62,4410.7,Not_Eligible
25,Male,Single,High School,172904,Government,1,Large,Rented,18671,6,3,4326,26871,10594,21979,9853,Yes,26539,663,163986,97503,Vehicle,1160876,30,18924.85,High_Risk
56,Male,Married,Professional,158936,Self-employed,3,Small,Family,25812,2,1,5570,20798,4794,22973,9862,No,6202,380,809201,489190,Vehicle,1227256,77,22023.75,Not_Eligible
58,Female,Single,High School,103378,Self-employed,2,Large,Rented,24534,4,1,2037,27587,10480,11521,15672,No,11115,392,347500,173909,Vehicle,849868,83,500.0,Not_Eligible
52,Male,Single,Graduate,23177,Private,14,Small,Family,6292,2,3,2185,25275,6307,14246,8178,Yes,5339,371,546487,400878,Personal Loan,621413,16,500.0,Not_Eligible
55,Male,Married,Professional,192187,Private,3,Large,Family,27750,1,2,9188,12818,10089,13727,1087,Yes,2408,356,977005,245448,Education,559493,33,40292.0,Not_Eligible
32,Male,Single,High School,137318,Self-employed,22,Small,Own,25782,4,0,10770,28667,11596,24293,14593,Yes,11025,822,261420,427025,Vehicle,339898,71,3707.2,Not_Eligible
50,Female,Single,High School,198026,Government,20,Medium,Family,8696,1,4,7505,28403,9121,9625,3489,Yes,6168,806,182548,333003,Vehicle,235765,68,43756.649999999994,Eligible
58,Male,Single,Professional,126145,Government,3,Large,Rented,11959,4,2,1179,21616,10408,10699,12569,Yes,18313,728,139856,387205,Education,869929,62,13790.699999999999,Eligible
27,Female,Single,Graduate,157916,Government,29,Large,Own,12812,6,0,4702,10139,6229,12211,8011,No,18884,697,784049,436570,Home Appliances,784272,79,29724.8,High_Risk
36,Female,Married,Professional,28418,Government,14,Small,Rented,9595,5,0,6935,20245,3955,14700,2600,No,23758,759,609570,94315,Personal Loan,947694,22,500.0,Not_Eligible
25,Male,Single,High School,180926,Government,5,Large,Family,9959,5,1,10112,6706,13214,24925,2489,No,26648,582,808137,223654,Personal Loan,1302488,13,30405.55,Not_Eligible
29,Female,Single,Professional,103075,Government,22,Small,Own,20117,5,3,13572,9559,3953,16310,6509,Yes,9299,504,42166,427886,E-commerce Shopping,476495,80,8314.6,Not_Eligible
54,Male,Married,High School,190022,Government,27,Small,Family,15383,6,1,11423,8314,4570,10970,14690,Yes,18679,396,684386,460288,Personal Loan,440577,6,37097.549999999996,Not_Eligible
54,Female,Married,Post Graduate,80227,Government,29,Medium,Family,8892,2,3,9524,17133,6742,8281,11573,Yes,7415,771,628435,305166,E-commerce Shopping,550933,54,3733.45,Not_Eligible
41,Female,Single,Professional,158907,Government,26,Medium,Rented,27780,4,1,14416,12606,6184,23205,17199,No,7218,759,548243,441997,Home Appliances,455549,49,17604.649999999998,Eligible
47,Male,Single,Professional,32533,Private,4,Large,Rented,21497,2,4,2744,1597,2088,15721,13285,No,7092,564,339274,378360,Education,677965,69,500.0,Not_Eligible
39,Male,Married,High School,116457,Government,11,Large,Rented,28721,4,1,2260,25161,1316,4827,8030,No,9737,568,576929,85580,Vehicle,1496401,13,12741.75,Not_Eligible
45,Male,Single,High School,122504,Private,6,Small,Own,19389,1,4,6120,6388,13010,7111,7257,No,18608,563,725590,55799,E-commerce Shopping,949689,52,15617.349999999999,Not_Eligible
38,Female,Married,High School,156295,Self-employed,2,Small,Rented,21174,5,2,3498,8735,7238,18318,11847,No,6268,765,275746,62292,Personal Loan,416042,25,27725.949999999997,Eligible
26,Female,Single,High School,139202,Private,6,Small,Family,12313,5,2,3413,5576,13746,11811,1478,Yes,24741,306,573818,446637,Vehicle,1382992,83,23143.399999999998,Not_Eligible
35,Male,Married,Professional,25273,Self-employed,11,Small,Own,28658,4,1,5478,18584,8970,3688,4484,No,22504,427,232436,421998,Home Appliances,316257,64,500.0,Not_Eligible
58,Male,Married,High School,48519,Private,14,Large,Rented,10,2,2,5798,19087,1394,13304,1331,Yes,11611,698,962602,335988,Education,239985,55,500.0,Not_Eligible
58,Female,Married,Professional,170232,Self-employed,18,Medium,Rented,13095,2,0,8097,8206,6315,15862,1280,Yes,24701,483,257940,195624,E-commerce Shopping,1274340,16,32436.6,Not_Eligible
42,Female,Single,Graduate,142024,Private,29,Large,Rented,5221,3,4,205,26042,10765,20203,2421,No,3440,383,952326,110449,Personal Loan,22864,49,25804.449999999997,Not_Eligible
54,Female,Single,Professional,139540,Private,5,Large,Family,26634,5,3,5380,27951,13145,9216,11815,No,17265,739,896637,447493,Vehicle,385982,20,9846.9,High_Risk
39,Male,Single,High School,195060,Self-employed,7,Large,Rented,15471,5,4,1809,24337,2062,21635,2239,No,5933,532,276159,184595,Vehicle,1150383,69,42550.899999999994,Not_Eligible
51,Female,Single,High School,156420,Government,28,Medium,Family,3677,2,1,9091,24820,11388,21685,17789,No,7414,828,332423,412739,Vehicle,870522,25,21194.6,Eligible
58,Male,Married,Graduate,98460,Government,30,Large,Own,11011,5,2,8939,18998,3423,14835,10079,Yes,4165,392,302412,481063,Education,808881,62,9453.5,Not_Eligible
57,Female,Married,Professional,119471,Government,5,Medium,Rented,15105,2,2,13164,25474,11605,5660,8084,Yes,6137,776,609330,237458,E-commerce Shopping,642324,61,11984.699999999999,Eligible
48,Female,Married,Graduate,119668,Government,25,Small,Family,25548,3,0,10821,1478,5551,25032,8742,Yes,522,660,658173,271850,Education,904499,52,14690.9,High_Risk
39,Male,Single,Professional,82519,Government,26,Large,Rented,7334,4,2,10634,9574,5371,13434,6127,No,9615,410,544856,359015,Personal Loan,702861,63,7150.5,Not_Eligible
54,Male,Single,High School,105426,Private,2,Small,Rented,11984,4,1,14036,24627,6674,13490,4074,Yes,10911,641,188033,143486,E-commerce Shopping,1206277,19,6870.5,High_Risk
41,Male,Single,Professional,29629,Government,27,Small,Own,27030,3,1,12624,10250,4581,8662,11558,Yes,9601,607,81114,179785,Home Appliances,402181,56,500.0,Not_Eligible
29,Female,Married,High School,64056,Private,4,Small,Own,5164,5,3,6942,21302,14549,3954,5653,Yes,14310,716,56027,435324,Home Appliances,1240088,11,500.0,Not_Eligible
53,Female,Single,High School,26273,Self-employed,8,Large,Family,9033,1,4,9953,2274,7548,9453,5933,Yes,3129,376,697282,258884,Education,1342332,34,500.0,Not_Eligible
28,Female,Single,Post Graduate,135484,Government,23,Small,Family,23244,5,4,13068,2161,5258,23325,13763,Yes,19929,567,469854,94465,Education,1247154,80,12157.599999999999,Not_Eligible
34,Male,Married,Post Graduate,112275,Government,15,Large,Family,24489,2,4,12566,19992,10834,17105,3895,Yes,23380,651,614547,436574,Education,420520,24,500.0,Not_Eligible
41,Female,Married,Professional,186488,Government,21,Small,Own,29030,6,3,2296,16987,5895,24132,4440,Yes,19365,345,752999,344875,Home Appliances,1449612,42,29520.05,Not_Eligible
34,Male,Single,High School,153966,Government,15,Large,Family,14889,1,3,4928,4043,7947,10412,2463,Yes,3150,625,996900,123188,Home Appliances,974876,80,37146.899999999994,High_Risk
41,Male,Married,Graduate,61073,Private,8,Large,Own,284,3,3,9923,7254,8784,15562,18528,No,22712,758,803212,53971,E-commerce Shopping,124748,54,500.0,Not_Eligible
44,Male,Single,High School,60693,Private,17,Large,Own,6543,4,0,5149,29264,8236,20631,8812,Yes,13388,681,429880,208120,E-commerce Shopping,466223,80,500.0,Not_Eligible
48,Female,Married,Graduate,197538,Private,12,Small,Rented,5570,4,3,3998,13561,6228,24870,6883,No,1094,514,601415,71173,Education,720557,30,47366.899999999994,Not_Eligible
29,Female,Married,Professional,39343,Self-employed,10,Large,Rented,22115,5,2,5934,21753,13467,15826,1777,No,17523,740,371122,470058,Vehicle,1046087,46,500.0,Not_Eligible
58,Male,Married,Professional,58095,Private,24,Small,Family,23995,4,0,11151,19876,2542,12465,3880,Yes,20410,640,424393,167676,E-commerce Shopping,430034,56,500.0,Not_Eligible
30,Female,Single,Graduate,177246,Government,9,Medium,Own,18819,5,2,938,27574,3899,9886,13670,Yes,27832,599,583693,165266,Home Appliances,152790,50,26119.8,Not_Eligible
26,Male,Single,Graduate,196873,Self-employed,28,Small,Own,7523,2,4,5250,11784,11226,3012,13166,Yes,6466,585,242780,243857,Personal Loan,122486,24,48456.1,Not_Eligible
37,Male,Single,High School,137388,Self-employed,9,Small,Own,11023,2,1,12811,9196,2478,26859,17516,No,8206,708,56298,433437,Vehicle,144966,37,17254.649999999998,Eligible
35,Female,Married,Professional,129441,Government,5,Large,Rented,12712,3,4,4555,6754,10203,7705,14858,Yes,15187,685,745622,295110,Home Appliances,212337,47,20113.449999999997,High_Risk
47,Male,Married,High School,115782,Government,15,Small,Own,1029,6,3,6538,13859,10623,21623,17338,Yes,6585,767,765465,425360,Vehicle,732567,30,13365.449999999999,Eligible
40,Male,Married,Graduate,188998,Government,24,Medium,Family,22968,2,1,7695,27704,14972,3697,14430,No,1538,793,849848,224884,Personal Loan,1254586,69,33597.9,Eligible
55,Female,Married,Post Graduate,87590,Government,11,Large,Family,24475,5,4,6556,19518,12448,5066,16515,Yes,5177,825,629814,198836,Education,153903,40,500.0,Not_Eligible
35,Male,Single,Post Graduate,184899,Private,3,Small,Rented,20835,4,0,2164,14673,9648,13578,604,Yes,6542,450,452364,466883,Vehicle,818295,55,40899.25,Not_Eligible
40,Male,Single,Post Graduate,123263,Self-employed,4,Small,Family,19350,2,3,5268,26387,6010,9914,4661,No,21179,477,34476,450751,Personal Loan,36948,8,10672.9,Not_Eligible
32,Male,Single,Graduate,190847,Government,1,Large,Own,7755,2,4,6252,29396,12256,7674,17784,No,13058,844,601456,479362,Personal Loan,603158,16,33835.2,Eligible
28,Male,Married,High School,187273,Private,18,Large,Own,553,5,1,14571,17198,5051,5073,11458,Yes,7579,308,128909,279294,Vehicle,1476313,38,44026.5,Not_Eligible
28,Male,Married,Professional,44373,Government,0,Small,Family,16651,2,2,6121,8723,4576,22596,12545,Yes,26286,650,979578,345496,Vehicle,379427,53,500.0,Not_Eligible
49,Male,Single,Graduate,42525,Private,3,Small,Rented,14203,4,4,2873,758,8835,6813,11085,Yes,10816,502,171441,253341,Vehicle,1290829,79,500.0,Not_Eligible
27,Male,Married,Post Graduate,142716,Government,11,Large,Own,23519,6,0,1450,16389,9095,4050,6447,No,9652,562,131970,164003,Vehicle,1467812,46,25239.899999999998,Not_Eligible
56,Female,Single,High School,119513,Government,1,Large,Own,1240,4,1,5105,8776,7653,5152,2548,No,5011,448,770234,43341,Education,98988,47,29409.8,Not_Eligible
27,Female,Married,Professional,144401,Government,11,Medium,Rented,4159,6,4,5636,29290,3292,10689,14915,No,13322,391,811354,318376,Home Appliances,1063125,75,22084.3,Not_Eligible
51,Male,Married,Professional,111643,Private,30,Medium,Own,18873,4,2,1203,3676,5879,14023,12075,Yes,1816,826,980375,291990,E-commerce Shopping,168245,43,18934.3,Eligible
53,Male,Single,Graduate,176558,Government,15,Medium,Family,24242,4,3,7052,17918,8205,18638,1885,No,26814,755,305747,428792,Education,1055929,8,25131.399999999998,Eligible
56,Female,Single,Graduate,164712,Private,1,Large,Family,10780,1,3,10064,13084,2138,29926,338,Yes,5635,759,849503,42673,Vehicle,948600,9,32461.449999999997,Eligible
43,Female,Married,Professional,112694,Private,16,Large,Rented,21778,4,3,4491,17868,3545,16323,5803,No,6994,752,654288,477297,Personal Loan,275602,49,12562.199999999999,Eligible
45,Female,Single,Professional,51136,Self-employed,25,Large,Rented,8661,1,1,3024,29027,10552,25171,6558,Yes,28213,499,981962,255503,Education,834484,35,500.0,Not_Eligible
29,Female,Single,Post Graduate,71539,Private,27,Small,Family,3287,4,2,6144,2266,4190,14340,910,No,6203,336,718296,265819,E-commerce Shopping,994736,24,11969.65,Not_Eligible
42,Female,Married,Professional,171014,Private,1,Large,Rented,28512,4,2,2055,2414,9247,6089,14402,Yes,4251,687,641445,418763,E-commerce Shopping,243993,69,36415.399999999994,High_Risk
52,Male,Married,Graduate,83363,Private,3,Small,Family,18403,5,4,2191,13176,5519,23025,13010,No,11401,732,527266,460743,Education,49460,79,500.0,Not_Eligible
46,Female,Married,High School,96526,Private,5,Large,Rented,10215,6,3,9870,16944,12383,3173,5500,Yes,13306,847,717279,164667,Personal Loan,1334448,15,8797.25,High_Risk
45,Female,Single,Post Graduate,50255,Private,28,Large,Family,9781,4,1,14610,20843,13337,12616,4614,No,6612,393,106801,301416,Personal Loan,933386,58,500.0,Not_Eligible
30,Female,Married,Post Graduate,133209,Self-employed,27,Small,Own,29549,2,3,7832,25989,12628,10254,896,Yes,9891,490,306631,420028,Personal Loan,1236011,79,12659.5,Not_Eligible
25,Male,Married,Professional,101437,Government,22,Large,Own,15951,4,3,12574,1318,11151,23287,8424,No,13903,775,332462,130801,Home Appliances,1496455,14,5190.15,High_Risk
29,Male,Married,High School,162349,Self-employed,6,Large,Family,5313,3,4,10729,2552,14673,10510,2758,No,19360,465,45326,244461,Personal Loan,1345661,7,33758.9,Not_Eligible
36,Male,Married,Post Graduate,147715,Self-employed,22,Large,Own,15047,5,4,9857,29983,11321,19832,9016,Yes,24890,339,946384,279301,E-commerce Shopping,1228617,79,9719.15,Not_Eligible
50,Male,Married,Graduate,130900,Government,14,Medium,Family,10252,5,4,4728,22704,5977,17389,11848,Yes,26284,363,59927,452902,Vehicle,1209791,57,11101.3,Not_Eligible
58,Male,Single,Professional,38729,Private,19,Large,Rented,4317,4,0,5690,5418,7704,29026,697,No,29874,751,428991,238084,Vehicle,869006,78,500.0,Not_Eligible
38,Male,Married,Graduate,36818,Government,11,Small,Own,22208,3,0,4824,13595,7191,8835,16154,No,13357,681,21650,212738,E-commerce Shopping,70913,76,500.0,Not_Eligible
50,Female,Married,Professional,80555,Private,4,Small,Own,9611,6,1,12318,19244,6765,20165,17445,Yes,11660,746,549136,479305,Personal Loan,892567,17,500.0,Not_Eligible
51,Male,Single,Post Graduate,113979,Government,13,Small,Own,25456,4,1,3011,6720,9429,22952,247,No,21247,574,44680,429085,Vehicle,751599,68,8720.949999999999,Not_Eligible
33,Male,Married,Professional,68629,Self-employed,15,Large,Family,838,2,4,7619,1077,4039,27747,10198,No,22659,377,729779,281866,E-commerce Shopping,629581,40,500.0,Not_Eligible
50,Female,Married,High School,130296,Private,10,Small,Own,25327,5,2,8435,27442,9580,14961,1919,Yes,20137,424,182698,498306,Personal Loan,1313396,82,7873.249999999999,Not_Eligible
46,Male,Single,Graduate,70438,Self-employed,11,Medium,Rented,8461,5,1,8331,26410,12598,29984,1611,No,2458,820,672219,405518,Home Appliances,292254,57,500.0,Not_Eligible
54,Female,Married,High School,24457,Private,18,Small,Own,27945,6,0,2448,21823,9876,21667,4192,Yes,16519,588,292922,380331,Vehicle,1055007,57,500.0,Not_Eligible
41,Female,Single,Graduate,48922,Government,16,Large,Rented,13922,3,0,724,2526,4983,19816,3663,Yes,29288,426,270991,9781,Personal Loan,178937,49,500.0,Not_Eligible
50,Male,Married,Graduate,155892,Government,29,Medium,Own,4827,1,3,9756,15901,1186,24519,11519,Yes,17197,515,793038,478848,Personal Loan,1300448,16,24845.449999999997,Not_Eligible
60,Female,Single,Professional,178822,Government,23,Small,Own,23371,6,4,12451,721,11935,7945,1377,No,11143,405,814508,336908,Vehicle,80809,17,38457.649999999994,Not_Eligible
25,Female,Single,Post Graduate,123122,Government,25,Medium,Rented,12903,3,2,103,9436,4428,25089,14313,No,18392,790,994284,121406,Personal Loan,695511,37,13460.3,Eligible
32,Female,Married,Post Graduate,117020,Government,26,Small,Own,19887,2,4,4047,5801,11602,4859,2863,No,18457,356,994828,173367,Education,897144,33,17326.399999999998,Not_Eligible
59,Female,Single,High School,183862,Self-employed,6,Large,Rented,28536,3,0,62,22437,8758,28926,9742,No,6656,579,553043,356262,Education,1046378,36,27560.75,Not_Eligible
39,Male,Single,Professional,103405,Self-employed,29,Medium,Rented,14400,6,2,2062,1345,12426,6919,14178,Yes,23520,471,837788,233317,Home Appliances,1401112,75,9994.25,Not_Eligible
46,Female,Married,Post Graduate,131130,Private,8,Small,Rented,24208,1,1,12061,29252,7754,13866,11631,Yes,25341,404,963931,273474,E-commerce Shopping,1249221,9,2455.95,Not_Eligible
38,Male,Married,Graduate,180493,Self-employed,13,Small,Own,2075,2,3,3565,745,4388,9390,2312,No,20178,305,723340,216989,Education,261402,40,48244.0,Not_Eligible
50,Female,Single,Graduate,83038,Private,25,Medium,Own,17696,2,0,10418,13326,6069,3548,8496,Yes,6076,333,187294,300651,Education,1062187,3,6093.15,Not_Eligible
52,Female,Married,Professional,77325,Private,19,Medium,Rented,16279,1,3,9738,8124,3934,24444,4879,No,12755,838,321088,203176,Home Appliances,750317,16,500.0,Not_Eligible
47,Female,Single,High School,40600,Self-employed,11,Medium,Own,14190,4,4,6584,5599,14270,22958,17695,No,2769,829,66766,44121,Education,1073997,27,500.0,Not_Eligible
38,Male,Single,Professional,175466,Self-employed,14,Medium,Family,18668,3,2,6668,877,5371,3166,11032,Yes,3673,816,503240,110986,Education,330438,10,44103.85,Eligible
48,Male,Married,High School,182243,Private,11,Small,Rented,24959,6,4,4822,24709,14112,22896,12125,No,29734,771,716576,230987,Vehicle,1291699,42,17110.1,Eligible
26,Male,Married,Professional,76526,Self-employed,20,Small,Rented,28756,2,3,14646,4813,7934,14952,7842,Yes,27528,554,349722,401359,Home Appliances,594306,8,500.0,Not_Eligible
50,Female,Single,Graduate,28149,Self-employed,20,Small,Family,15084,6,0,12264,25623,6987,21784,8327,Yes,28698,546,936585,416373,Personal Loan,15192,81,500.0,Not_Eligible
38,Female,Married,Professional,176466,Self-employed,28,Large,Family,12533,3,3,4833,10616,7859,6170,6631,No,8389,616,66323,366165,Personal Loan,1269618,22,41802.25,High_Risk
31,Female,Married,Post Graduate,160468,Government,22,Medium,Rented,14723,1,0,3646,7764,4969,12839,19696,Yes,15251,550,379697,176917,E-commerce Shopping,362958,83,28553.0,Not_Eligible
27,Female,Single,Post Graduate,169396,Government,12,Small,Family,15264,5,3,9982,7309,13186,22573,19235,Yes,9189,647,644512,29349,E-commerce Shopping,556098,61,25430.3,High_Risk
47,Male,Single,Professional,193270,Private,8,Medium,Rented,16246,1,4,14291,10891,13764,5621,19416,No,20416,374,269571,168459,Education,1489884,8,32418.749999999996,Not_Eligible
42,Female,Single,High School,127168,Self-employed,23,Medium,Own,14601,3,3,129,9654,12441,24542,18790,Yes,15077,539,463719,126371,Education,535577,41,11176.9,Not_Eligible
59,Male,Single,High School,124813,Private,6,Small,Family,19192,2,1,3015,17731,3751,6401,3065,No,15887,435,988035,68401,Personal Loan,1129609,12,19519.85,Not_Eligible
39,Female,Single,Graduate,106779,Self-employed,29,Medium,Rented,8995,3,4,14263,29817,9173,9466,14990,Yes,14275,526,265015,300263,Home Appliances,155945,11,2029.9999999999998,Not_Eligible
49,Male,Single,Graduate,177088,Government,0,Medium,Rented,14563,5,3,7669,1364,2575,18293,11359,Yes,17730,758,830322,83615,Vehicle,1324686,36,36237.25,Eligible
52,Male,Married,High School,149266,Self-employed,27,Medium,Rented,28911,2,3,13574,16348,7503,9172,7886,No,14357,385,767705,381100,E-commerce Shopping,1292801,79,18030.25,Not_Eligible
34,Female,Single,Professional,47398,Self-employed,9,Medium,Family,25672,5,2,5290,15538,2259,16026,13659,No,13384,759,228357,497572,Education,942788,57,500.0,Not_Eligible
41,Female,Married,Graduate,19789,Self-employed,28,Medium,Own,11934,4,4,926,25807,2056,3542,8322,Yes,1719,411,297510,221890,E-commerce Shopping,1149626,77,500.0,Not_Eligible
46,Male,Married,High School,79967,Government,5,Small,Own,12675,6,2,1980,14289,6660,12531,626,No,28535,368,132417,149272,Personal Loan,1041024,77,934.8499999999999,Not_Eligible
50,Female,Single,High School,113837,Government,25,Small,Family,6521,1,4,5525,4261,9736,27526,16671,Yes,25016,661,337604,203858,Home Appliances,748581,63,6503.349999999999,High_Risk
49,Female,Married,Professional,171049,Government,14,Medium,Rented,6355,4,0,9917,23592,7243,14776,5886,Yes,26549,585,89011,278372,Personal Loan,1397115,61,26855.85,Not_Eligible
41,Male,Single,Post Graduate,116967,Private,14,Medium,Rented,20103,3,4,1819,28281,7800,11759,19091,No,8583,742,725648,360049,Vehicle,632115,81,6835.849999999999,High_Risk
37,Male,Married,High School,146201,Self-employed,8,Medium,Rented,4771,4,4,5107,4082,1329,22922,2103,Yes,26246,450,212508,355429,Home Appliances,643287,13,27874.35,Not_Eligible
44,Male,Single,Graduate,74683,Government,12,Large,Family,2696,1,3,12736,17963,14376,26396,2381,Yes,9547,809,528957,407656,Vehicle,556592,15,500.0,Not_Eligible
49,Male,Single,Professional,60331,Private,22,Medium,Family,12458,2,1,10399,29770,3169,13937,1634,No,28672,783,178414,371504,Vehicle,537833,64,500.0,Not_Eligible
28,Female,Single,Professional,49626,Government,0,Large,Rented,13463,6,4,11480,21983,10770,21324,14183,No,21387,740,623694,42026,Home Appliances,463812,73,500.0,Not_Eligible
34,Male,Single,Professional,194575,Self-employed,8,Large,Rented,5796,5,2,4783,3419,4006,27501,15145,No,2255,475,498196,112914,Vehicle,371726,24,46084.5,Not_Eligible
27,Male,Married,Post Graduate,173621,Private,2,Large,Rented,808,2,1,2895,18401,6840,25726,15176,No,12301,328,518747,441167,E-commerce Shopping,1365100,40,32015.899999999998,Not_Eligible
42,Male,Married,Post Graduate,27342,Government,29,Small,Family,10343,6,4,1756,20401,8145,4760,11447,Yes,5341,674,718356,59161,Education,1417644,16,500.0,Not_Eligible
60,Female,Married,Graduate,51417,Government,8,Large,Family,3293,4,1,10729,3037,3523,13421,13096,Yes,2026,730,992443,340064,Home Appliances,1180341,8,802.1999999999999,Not_Eligible
46,Male,Married,Graduate,198321,Private,19,Medium,Own,9497,3,0,2327,14501,11981,17465,12291,Yes,4339,684,701091,454670,Personal Loan,215156,33,44072.0,High_Risk
58,Female,Married,Professional,67664,Private,30,Medium,Rented,3459,4,1,10320,17145,5222,8773,17995,Yes,20114,650,422124,265524,Personal Loan,722826,53,500.0,Not_Eligible
32,Male,Single,Graduate,23833,Private,24,Small,Rented,18803,1,0,3196,13397,3915,23329,10674,Yes,1298,519,802784,172260,Education,100425,5,500.0,Not_Eligible
43,Male,Single,High School,75658,Private,28,Small,Own,4224,1,1,10409,12164,14497,17466,13069,Yes,1612,793,315445,10771,Personal Loan,1060894,19,775.9499999999999,Not_Eligible
30,Female,Single,Post Graduate,175545,Private,14,Medium,Rented,7571,3,1,3653,29320,10964,22085,5513,No,107,446,229943,116356,Education,1211333,22,33716.2,Not_Eligible
50,Male,Single,Professional,146809,Government,23,Small,Own,22747,6,2,11353,15180,11330,20412,8032,No,1353,501,553204,420671,E-commerce Shopping,484866,9,19740.699999999997,Not_Eligible
58,Male,Single,Professional,109965,Private,6,Small,Family,25772,2,2,10619,12838,6674,9310,1401,Yes,1646,712,755041,205231,Personal Loan,1116559,19,14596.749999999998,Eligible
30,Female,Married,High School,192719,Private,3,Large,Own,20951,1,3,13147,16982,2956,7480,17937,Yes,4220,519,265331,213927,Personal Loan,570206,60,38166.1,Not_Eligible
57,Male,Single,High School,79054,Self-employed,24,Large,Own,14171,1,1,6254,26778,7189,23087,6744,Yes,17500,682,523368,133117,E-commerce Shopping,360265,29,500.0,Not_Eligible
46,Male,Single,High School,16299,Government,19,Small,Family,15323,3,0,4259,3743,3072,16866,11419,No,8603,849,271599,149271,Personal Loan,253120,15,500.0,Not_Eligible
45,Male,Married,High School,80875,Self-employed,16,Medium,Rented,19908,2,1,414,8608,11588,10259,3570,Yes,3020,550,720175,33605,Personal Loan,701705,7,8227.8,Not_Eligible
30,Male,Married,Professional,178992,Government,21,Large,Own,6751,4,4,12286,11625,14922,20125,13320,No,236,577,436094,492427,E-commerce Shopping,1214781,67,34904.45,Not_Eligible
30,Female,Single,Post Graduate,188453,Government,3,Medium,Own,9717,5,0,14975,19801,12007,29351,8851,Yes,2702,353,237501,234111,E-commerce Shopping,270850,19,31867.149999999998,Not_Eligible
28,Male,Single,Post Graduate,129286,Government,25,Small,Rented,15411,3,4,12442,15505,1872,21618,17348,No,8400,737,697890,268035,E-commerce Shopping,271685,39,12841.5,Eligible
54,Female,Married,High School,113730,Private,18,Medium,Own,6237,2,3,6337,14027,8497,20997,17371,Yes,13630,510,285910,467567,Personal Loan,295391,18,9321.9,Not_Eligible
